"用例编号","一级分类","二级模块","用例名称","优先级","前置条件","测试步骤","预期结果"
"OTHER-FM-01","其他功能测试","公式速查（OTHER-FM）","8 个 tab 与条数","P1","进入「公式速查」","查看 `#fmTabs`","7 个公式分类 + 「单位换算」共 8 个 tab；公式合计 42 条、单位换算 41 条（与 tab 上角标一致）"
"OTHER-FM-02","其他功能测试","公式速查（OTHER-FM）","公式卡结构","P1","进入任一公式分类","查看任一条公式","显示：名称、单位、表达式、变量表（符号 + 说明）、「什么时候用：」、「算例：」（有则显示）"
"OTHER-FM-03","其他功能测试","公式速查（OTHER-FM）","单位换算页","P1","点「单位换算」tab","查看表格","表格列为：这个单位 / 等于 / 备注 / 使用场景；共 7 类 41 条"
"OTHER-FM-04","其他功能测试","公式速查（OTHER-FM）","公式搜索覆盖面","P1","公式速查页","分别用公式名称、表达式片段、变量符号、算例文本搜索","均能命中（搜索范围含 name / expr / when / eg / unit / 变量符号与说明）"
"OTHER-FM-05","其他功能测试","公式速查（OTHER-FM）","无结果提示","P2","公式速查页","搜索 `zzz`","显示「没有匹配的内容，换个关键词试试～」"
"OTHER-FM-06","其他功能测试","公式速查（OTHER-FM）","分类切换条数正确","P2","公式速查页","逐个切换 7 个公式分类","各分类条数为 结构与强度 6 / 注塑与模具 7 / 散热 6 / 光学 6 / 成本与量产 5 / 包装与公差 6 / 灯具结构件与装配 6，合计 42"
"OTHER-QK-01","其他功能测试","速查手册（OTHER-QK）","17 张表 tab","P1","进入「速查手册」","查看 `#qvTabs`","17 张表（常用塑料特性对比 / 注塑结构设计速查 / 公差与配合速查 / 螺丝与紧固速查 / 金属材料与钣金速查 / 钣金与机加工速查 / 表面处理对比 / 安规与防护等级速查 / 光学参数速查 / 包装与运输速查 / 成本与量产速查 / 灯具结构件速查 / 塑料耐化学性速查 / 常用塑料牌号对照 / 螺纹与底孔速查 / O圈与密封槽速查 / 钕铁硼磁铁吸力速查）"
"OTHER-QK-02","其他功能测试","速查手册（OTHER-QK）","表头与行数正确","P0","进入第 1 张表","核对列头与数据行","列头为「材料 / 密度 g/cm³ / 收缩率 % / 耐温 ℃ / 透光率 / 特点与典型用途」，数据 13 行；其余各表行数依次为 21/18/16/11/12/11/19/18/13/12/15/13/12/12/8/8"
"OTHER-QK-03","其他功能测试","速查手册（OTHER-QK）","补充行浅底标注","P2","进入「金属材料与钣金速查」","查看表格下方说明与行样式","描述显示「共 N 行（其中本轮补充 M 行，表中以浅底标出）· 筛出 K 行」；补充行带浅色底纹（`KB_QUICK_ADD` 共 5 张表 35 行：metal 7 / sheet 8 / surface 6 / pack 7 / cost 7）"
"OTHER-QK-04","其他功能测试","速查手册（OTHER-QK）","行内搜索过滤","P1","进入任一表","在搜索框输入关键词","按整行内容过滤，卡片描述中的「筛出 K 行」同步更新；切表后搜索词保留但结果按新表重算"
"OTHER-QK-05","其他功能测试","速查手册（OTHER-QK）","无匹配行","P2","任一表","搜索 `zzz`","显示「没有匹配的数据行，换个关键词试试～」"
"OTHER-QK-06","其他功能测试","速查手册（OTHER-QK）","打印这张表","P1","任一表","点「打印这张表」","打印预览：导航、页签、搜索框、工具行不打印；当前表带边框完整输出，表头在每页重复（`table-header-group`）"
"OTHER-QK-07","其他功能测试","速查手册（OTHER-QK）","复制链接","P2","任一表","点「复制链接」","按钮文字变「已复制链接」约 1.5 秒后还原；剪贴板为带 `?mod=quick&id=<表id>` 的深链"
"OTHER-QK-08","其他功能测试","速查手册（OTHER-QK）","窄屏横滑与首列固定","P1","窗口宽度 ≤760px","打开任一张宽表，左右滑动","表格上方出现「窄屏可左右滑动看全部 N 列，首列会固定」，首列在横滑时保持吸附固定"
"OTHER-QK-09","其他功能测试","速查手册（OTHER-QK）","表注渲染","P2","找到带 note 的表","查看表下方","显示「⚠️ {note}」形式的表注"
"OTHER-CHK-01","其他功能测试","检查清单（OTHER-CHK）","五张清单卡与总数","P1","进入「检查清单」","查看 `#chkSum`","5 张卡：开模前结构评审 31 项 / DFM 检讨清单 23 项 / 安规自检清单 22 项 / 试产与量产准备 20 项 / 包装与运输评审 18 项，合计 **114 项**"
"OTHER-CHK-02","其他功能测试","检查清单（OTHER-CHK）","点击卡片切换清单","P1","进入「检查清单」","点第 3 张卡","正文切换到「安规自检清单」，卡片高亮态跟随"
"OTHER-CHK-03","其他功能测试","检查清单（OTHER-CHK）","勾选与进度联动","P0","进入任一清单","勾选 3 项","该项打勾并高亮；卡片上「已勾选 3 / total」与百分比、进度条同步更新"
"OTHER-CHK-04","其他功能测试","检查清单（OTHER-CHK）","勾选状态持久化","P0","已勾选若干项","刷新页面","勾选状态完整保留（`kb-check-v2`），进度数字不变"
"OTHER-CHK-05","其他功能测试","检查清单（OTHER-CHK）","反勾选","P1","已勾选某几项","再次点击已勾选项","取消勾选，进度数字减少，无确认弹窗"
"OTHER-CHK-06","其他功能测试","检查清单（OTHER-CHK）","清空当前清单","P1","当前清单有勾选","点「清空当前清单」","当前清单勾选全部清零（无确认），**其它 4 张清单的勾选不受影响**"
"OTHER-CHK-07","其他功能测试","检查清单（OTHER-CHK）","打印当前清单","P1","任一清单","点「打印当前清单」","打印预览只含当前清单（导航/工具行隐藏），复选框样式与分组标题完整，分组可跨页但单项不跨页断行"
"OTHER-CHK-08","其他功能测试","检查清单（OTHER-CHK）","分组标题与项说明","P2","任一清单","查看结构","显示分组标题（如「一、外观与分型」）+ 每项标题与说明文字，分组数与数据一致（premold 5 / dfm 7 / safetychk 5 / pilot 3 / packchk 3）"
"OTHER-TPL-01","其他功能测试","实战模板（OTHER-TPL）","四份模板 tab","P1","进入「实战模板」","查看 `#tplTabs`","4 份：NPI 新品开发流程 / DFM 检讨报告模板 / 供应商报价对比表 / 手板·打样需求单"
"OTHER-TPL-02","其他功能测试","实战模板（OTHER-TPL）","三种块渲染","P1","打开「NPI 新品开发流程」","查看页面","顶部 info 输入框（项目/负责人等）可填写；中间只读流程表；下方可填写表格（单元格可编辑）"
"OTHER-TPL-03","其他功能测试","实战模板（OTHER-TPL）","info 字段输入与保存","P0","打开任一模板","在 info 输入框输入文字，停留 1 秒后刷新页面","输入内容保留（`kb-tpl-v1`，防抖 400ms；失焦立即写盘）"
"OTHER-TPL-04","其他功能测试","实战模板（OTHER-TPL）","fill 单元格编辑与保存","P0","打开「供应商报价对比表」","在若干单元格填写内容后刷新","单元格内容保留，换行与空格正常"
"OTHER-TPL-05","其他功能测试","实战模板（OTHER-TPL）","首列不可编辑","P2","打开带 `labelCol` 的模板","尝试编辑第一列","第一列为行标签，不可编辑（无光标、`contenteditable` 未生效）"
"OTHER-TPL-06","其他功能测试","实战模板（OTHER-TPL）","打印 / 存为 PDF","P1","已填写内容","点「打印 / 存为 PDF」","打印预览只输出表格内容，网页元素（导航、工具行、按钮）全部不打印；填写内容包含在输出中"
"OTHER-TPL-07","其他功能测试","实战模板（OTHER-TPL）","清空填写内容需确认","P1","已填写内容","1) 点「清空填写内容」；2) 在确认框中点取消；3) 再点并在确认框中确定","1) 弹出 confirm「确定清空这个模板里已填写的内容吗？（不影响模板本身的预设文字）」；2) 内容保留；3) 只清空当前模板的填写内容，模板预设文字不变，**其它 3 份模板的填写内容不受影响**"
"OTHER-TPL-08","其他功能测试","实战模板（OTHER-TPL）","分类切换保持各自内容","P1","两份模板各填内容","在两个 tab 间来回切换","两份模板各自的内容互不覆盖，均正确回显"
"OTHER-TPL-09","其他功能测试","实战模板（OTHER-TPL）","数据缺失兜底","P2","屏蔽 `data/template.js` 后加载","进入实战模板","显示「模板数据未加载」，页面不报错、不白屏"
"OTHER-CASE-01","其他功能测试","整机案例（OTHER-CASE）","六款案例 tab","P1","进入「整机案例」","查看 `#caseTabs`","6 款：硅胶拍拍小夜灯 / 桌面 RGB 氛围灯 / 便携补光灯 / 橱柜感应灯条 / 磁吸轨道射灯 / 户外庭院灯"
"OTHER-CASE-02","其他功能测试","整机案例（OTHER-CASE）","案例头部与 meta","P1","打开任一款","查看顶部","显示案例名 + tagline + 键值 meta（每案例 6 项：产品定位、供电方式等）"
"OTHER-CASE-03","其他功能测试","整机案例（OTHER-CASE）","结构构成与选材表","P1","打开任一款","查看内容区","显示部件 / 材料 / 工艺 / 设计要点四列的构成表（7~9 行）"
"OTHER-CASE-04","其他功能测试","整机案例（OTHER-CASE）","关键参数、流程、问题对策","P1","打开任一款","依次查看三块","关键设计参数（分组显示，4~5 组）、开发流程与工艺路线（编号步骤 8 条）、常见问题与对策（6~8 条）"
"OTHER-CASE-05","其他功能测试","整机案例（OTHER-CASE）","DFM 检讨记录与成本表","P1","打开任一款","查看下部","DFM 检讨记录显示「问题 / 改法 / 结果」（每案例 7~8 条，全 6 案例共 45 条）；成本构成估算表 + 成本说明文字"
"OTHER-CASE-06","其他功能测试","整机案例（OTHER-CASE）","切 tab 回到顶部","P2","打开案例并下滚","切到另一款案例","页面滚回顶部，内容为该案例"
"OTHER-GL-01","其他功能测试","术语词典（OTHER-GL）","总数与分类 chips","P1","进入「术语词典」","查看 `#glCount` 与 `#glChips`","显示「139 个术语」；chip 为「全部 139」+ 8 类（材料 / 成型模具 / 结构装配 / 制图公差 / 光学 / 热与安规 / 测试质量 / 项目量产）"
"OTHER-GL-02","其他功能测试","术语词典（OTHER-GL）","分类筛选","P1","术语词典","点「光学」分类","只显示该分类术语，条数与 chip 数字一致"
"OTHER-GL-03","其他功能测试","术语词典（OTHER-GL）","卡片结构","P1","任选一条术语","查看卡片","显示英文 + 分类标签、中文名、释义、「实际用法」段落（139 条全部有实际用法，`KB_GLOSS_USE`）"
"OTHER-GL-04","其他功能测试","术语词典（OTHER-GL）","搜索覆盖五字段","P1","术语词典","分别用英文、中文、释义片段、分类名、实际用法片段搜索","均能命中"
"OTHER-GL-05","其他功能测试","术语词典（OTHER-GL）","无结果提示","P2","术语词典","搜索 `zzz`","显示「没有匹配的术语，换个关键词试试～」"
"OTHER-GL-06","其他功能测试","术语词典（OTHER-GL）","术语键完整性","P2","数据校验","执行 `node content-check.js`","139 个 `KB_GLOSS_USE` 键与 `KB_GLOSS.en` 完全对应，无多余无缺失"
"OTHER-GAL-01","其他功能测试","参考图库（OTHER-GAL）","总量统计","P1","进入「参考图库」","查看 `#gwCount` 与 `#gwStat`","显示「594 张」；统计行显示「共 594 张参考图，覆盖 198 个知识点 · 点图片放大，点标题进入知识点」"
"OTHER-GAL-02","其他功能测试","参考图库（OTHER-GAL）","初始 60 张与分页","P0","进入参考图库","1) 数首屏图片数量；2) 点「加载更多（还有 N 张）」","1) 首屏 60 张；2) 每次追加 60 张，按钮上的「还有 N 张」递减；最多点 9 次可加载完 594 张"
"OTHER-GAL-03","其他功能测试","参考图库（OTHER-GAL）","领域下拉筛选","P1","参考图库","选择「光学设计」领域","只显示该领域图片，统计行张数与领域下拉联动，分页重置为 60 张"
"OTHER-GAL-04","其他功能测试","参考图库（OTHER-GAL）","图片搜索","P1","参考图库","输入「磁铁」或某条目名","按图注 / 条目名过滤，分页重置"
"OTHER-GAL-05","其他功能测试","参考图库（OTHER-GAL）","点图片开灯箱","P1","参考图库","点任一图片","弹出灯箱：大图 + 图注 + 「来源：xxx」；点 ✕ 或遮罩关闭"
"OTHER-GAL-06","其他功能测试","参考图库（OTHER-GAL）","点标题进知识点","P1","参考图库","点图片下方的条目名","打开该知识点详情浮窗（不触发图片放大）"
"OTHER-GAL-07","其他功能测试","参考图库（OTHER-GAL）","无结果提示","P2","参考图库","搜索 `zzz`","显示「没有匹配的图片，换个关键词试试～」"
"OTHER-GAL-08","其他功能测试","参考图库（OTHER-GAL）","图片引用完整性","P1","数据/资源核对","抽样打开 10 张不同类型的图（各领域、各缩略图）","全部 200 正常显示；`KB_IMG` 594 条引用与 `images/ref` 594 个文件一一对应，`images/ref/thumb` 594 个缩略图同样齐全（0 缺失 0 冗余）"
"OTHER-FLD-01","其他功能测试","实战宝典（OTHER-FLD）","四分类 tab 与条数","P1","进入「实战宝典」","查看 `#fieldTabs`","设计避坑 30 个（5 组）/ 缺陷排查 35 条（5 组）/ 面试题库 35 题（6 组）/ 标准清单 72 项（6 组）"
"OTHER-FLD-02","其他功能测试","实战宝典（OTHER-FLD）","设计避坑卡结构","P1","切到「设计避坑」","任选一条","显示四行：错误做法 / 后果 / 正确做法 / 怎么自查 + 关联条目 chip；顶部有共用图例说明"
"OTHER-FLD-03","其他功能测试","实战宝典（OTHER-FLD）","缺陷排查卡结构","P1","切到「缺陷排查」","任选一条","显示 现象 + 可能原因（分号连接）+ 对策（编号列表）+ 怎么验证"
"OTHER-FLD-04","其他功能测试","实战宝典（OTHER-FLD）","面试题标签与答案","P1","切到「面试题库」","查看任两题","题干带标签（核心 / 加分 / 其他，三种样式），答案要点列表完整"
"OTHER-FLD-05","其他功能测试","实战宝典（OTHER-FLD）","标准清单表格","P1","切到「标准清单」","查看表格","列为 标准号 / 名称 / 说明·用途；共 72 项，分 6 组（中国标准与法规 19 / IEC·ISO 15 / 欧盟 11 / 北美 11 / 运输包装 8 / 制图与管理体系 8）"
"OTHER-FLD-06","其他功能测试","实战宝典（OTHER-FLD）","分类内搜索与筛出计数","P1","任一分类","输入关键词","实时过滤；组标题追加「筛出 N 个/条/题」；标准清单底部显示「共筛出 N 项标准」"
"OTHER-FLD-07","其他功能测试","实战宝典（OTHER-FLD）","无匹配提示","P2","任一分类","搜索 `zzz`","显示「没有匹配的内容，换个关键词试试～」"
"OTHER-CMP-01","其他功能测试","知识点对比（OTHER-CMP）","两个下拉按工艺分组","P1","进入「知识点对比」","展开 `#cmpA`","选项按工艺 optgroup 分组（塑料成型 / 钣金冲压 / 压铸铝 / 挤压铝型材 / 跨工艺通用），组内按优先级排序；首项为「— 请选择知识点 —」"
"OTHER-CMP-02","其他功能测试","知识点对比（OTHER-CMP）","默认值与并排展示","P1","清空 localStorage 后进入","查看默认内容","默认选中 ABS 与 PC；左右两列并排显示：标题、领域/优先级、一句话记住、核心要点（按分号/换行拆条，最多 14 条）、关键经验数值、应用场景、关联条目 chip"
"OTHER-CMP-03","其他功能测试","知识点对比（OTHER-CMP）","标题点击开详情","P2","对比页","点左列标题","打开该知识点详情浮窗"
"OTHER-CMP-04","其他功能测试","知识点对比（OTHER-CMP）","13 个预设组合","P1","对比页","查看 `#cmpPresets` 并点其中一个","显示 13 个预设按钮（ABS↔PC、PC↔亚克力、PP↔ABS、注塑↔搪胶、搪胶↔液态硅胶、卡扣↔自攻螺丝、自攻螺丝↔热熔螺母、喷油↔电镀 等）；点击后两侧同时切换，该按钮加选中态"
"OTHER-CMP-05","其他功能测试","知识点对比（OTHER-CMP）","某一侧未选择","P2","对比页","把 `#cmpA` 选回「— 请选择知识点 —」","左列显示「未选择」，右列正常显示，页面不报错"
"OTHER-CMP-06","其他功能测试","知识点对比（OTHER-CMP）","选择持久化","P2","已改选两项","刷新页面","仍为上次选择的两项（`kb-compare-v1`）"
"OTHER-STEP-01","其他功能测试","STEP 成本评估（OTHER-STEP）","解析引擎缺失时的报错","P1","未提供 `vendor/occt/`","进入 STEP模块，拖入任意 `.step` 文件","状态区显示「解析引擎加载失败：…」，页面不白屏、不抛未捕获异常；隐私说明仍在"
"OTHER-STEP-02","其他功能测试","STEP 成本评估（OTHER-STEP）","模块懒加载","P1","清空缓存并硬刷新","首次点击「STEP成本评估」","动态加载 `data/step.js` 与 `kb-step-view.js` 后正常渲染上传区（可接受短暂空白，加载后自动重渲染）"
"OTHER-STEP-03","其他功能测试","STEP 成本评估（OTHER-STEP）","上传区交互","P1","引擎可用","1) 点击上传区；2) 键盘 Enter / Space；3) 拖入文件","1) 打开文件选择框，accept 限定 `.step/.stp/.STEP/.STP/.igs/.iges/.brep`；2) 同样打开文件选择框；3) 拖入时上传区高亮（`.over`），松手后开始解析"
"OTHER-STEP-04","其他功能测试","STEP 成本评估（OTHER-STEP）","隐私说明与文件不上传","P2","上传区可见","查看说明文字","明确显示「解析全部在你自己的浏览器里完成，文件不会上传到任何服务器」；Network 中无文件上传请求"
"OTHER-STEP-05","其他功能测试","STEP 成本评估（OTHER-STEP）","草稿恢复入口","P1","已解析过一次并产生配置","刷新后重进 STEP 模块","显示「继续上次的报价」与「都清掉，重新开始」；点前者恢复上次模型与配置；点后者清空 `kb-ws-auto-v1` 并回到上传态"
"OTHER-STEP-06","其他功能测试","STEP 成本评估（OTHER-STEP）","同名文件自动套用配置","P1","已有完整配置","再次拖入同名同大小的文件","自动套用上次配置并提示「已自动套用上次对「xxx」的配置（N 个零件）」"
"OTHER-STEP-07","其他功能测试","STEP 成本评估（OTHER-STEP）","3D 画布与装配树","P1","已解析装配体","1) 拖拽旋转、滚轮缩放；2) 点「复位视角」；3) 点击画布中某零件；4) 查看装配树","1) 模型可旋转缩放；2) 视角复位；3) 高亮/提示该零件包围盒；4) 装配树按层级列出零件，每行显示颜色块、名称、包围盒、体积、重量、材料下拉、是否计入成本的勾选"
"OTHER-STEP-08","其他功能测试","STEP 成本评估（OTHER-STEP）","成本参数与成本卡","P0","已解析","1) 修改 8 项成本参数（材料损耗 / 基础成型周期 / 良率 / 机时费系数 / 包装费 / 组装费 / 订单量 / 目标售价）中的任一项；2) 查看成本卡","1) 修改后成本立即重算；2) 成本卡列出 材料费 / 加工费 / 良率损失 / 二次加工 / 包装 / 组装 / 模具摊销 / 单件估算成本，并带免责说明；输入非法值（如负数字符串）不产生 NaN"
"OTHER-STEP-09","其他功能测试","STEP 成本评估（OTHER-STEP）","模具方案与共模","P1","已解析含多个零件的装配体","1) 展开某零件的「开模设置」；2) 设置穴数、滑块、斜顶、浇口、钢材、精度、表面要求；3) 在共模多选中勾选另一零件","1) 展开显示完整设置项；2) 模具方案卡中的穴数、金额、计算式随之变化；3) 两个零件并入同一套模，显示「共模 N 件」；取消勾选后回到独立开模"
"OTHER-STEP-10","其他功能测试","STEP 成本评估（OTHER-STEP）","无零件可合并提示","P2","只有一个零件","尝试共模","提示「没有其他零件可以合并」"
"OTHER-STEP-11","其他功能测试","STEP 成本评估（OTHER-STEP）","阶梯价与模具回本点","P1","已填目标售价","查看报价分析区","显示 5 档阶梯价（1万 / 5万 / 10万 / 30万 / 50万，当前档标「（当前）」）+ 回本点「需要 N 件才能收回」；售价低于变动成本时给出红字警告；未填目标售价时给出引导文案"
"OTHER-STEP-12","其他功能测试","STEP 成本评估（OTHER-STEP）","方案保存与并排对比","P1","已完成一次评估","1) 输入方案名点「保存方案」；2) 保存第 2 个方案；3) 勾选两个方案点「并排对比选中的方案」；4) 只勾选 1 个再点","1) 提示已存 1 个；2) 方案表新增一行（名称/零件数/文件名/单件成本/模具投入/保存时间）；3) 生成 10 项指标对比表，最优列标「最优」；4) 弹出 alert「至少勾选 2 个方案才能对比。」"
"OTHER-STEP-13","其他功能测试","STEP 成本评估（OTHER-STEP）","单价库编辑与恢复默认","P1","进入单价库区","1) 修改某材料单价；2) 点「恢复材料默认」并在 confirm 中确定；3) 点「导出单价库」；4) 点「导入单价库」选一个合法 JSON / 非法文件","1) 改过的行显示「已改」，后续成本按新价重算；2) 恢复默认值；3) 下载 `单价库-YYYY-MM-DD.json`；4) 合法文件提示「已导入 N 项单价」，非法文件提示「导入失败：…」（三种失败文案分别对应非 JSON / 非单价库文件 / 无可用单价）"
"OTHER-STEP-14","其他功能测试","STEP 成本评估（OTHER-STEP）","报价单生成与打印","P1","已填客户与项目名","填写客户/项目、有效期、备注后点「打印 / 存为 PDF」","打印预览**只输出报价单**（单件成本构成 / 订单量阶梯价 / 零件明细 / 模具投入 / 说明），页面其余部分不打印；关闭预览后页面恢复正常"
"OTHER-STEP-15","其他功能测试","STEP 成本评估（OTHER-STEP）","导出 CSV 与 AI 提示词","P1","已完成评估","1) 点「导出 CSV（Excel）」；2) 点「生成 AI 提示词」→「复制提示词」","1) 下载含模具清单与阶梯价的 CSV，Excel 打开中文不乱码；2) 提示词展开，复制成功且按钮短暂显示「已复制」"
"OTHER-STEP-16","其他功能测试","STEP 成本评估（OTHER-STEP）","项目台账与 CSV","P1","已完成一次报价","1) 点「把当前报价存进台账」；2) 点「新增一行」改状态；3) 删除某行并确认；4) 点「导出台账 CSV」；5) 点「清空台账」","1) 台账新增一行（产品名/客户/订单量/成本/报价/状态/删除）；2) 状态可选 报价中/已报价/打样中/量产中/暂停/已结束；3) 该行删除（confirm「清空整个项目台账？这个操作不可恢复。」仅用于清空）；4) 下载 CSV；5) 台账清空"
"OTHER-PRT-01","其他功能测试","打印与导出（OTHER-PRT）","六处打印入口","P1","任意环境","依次点击：速查手册「打印这张表」、实战模板「打印当前模板」、模板内「打印 / 存为 PDF」、检查清单「打印当前清单」、详情「打印 / 导出」、STEP「打印 / 存为 PDF」","6 处均能唤起打印预览，无 JS 报错"
"OTHER-PRT-02","其他功能测试","打印与导出（OTHER-PRT）","打印样式：外壳隐藏","P0","任一模块","打开打印预览","导航栏、顶栏、详情浮窗、返回顶部按钮、快捷键提示、模块工具栏、搜索框、页脚交互元素均不打印"
"OTHER-PRT-03","其他功能测试","打印与导出（OTHER-PRT）","打印样式：表格与分页","P1","速查手册 / 检查清单","查看预览分页","表格带完整边框，表头每页重复；行与卡片不跨页断开（`break-inside:avoid`）；页边距为 12mm × 10mm"
"OTHER-PRT-04","其他功能测试","打印与导出（OTHER-PRT）","打印强制浅色","P1","深色主题下","打开打印预览","打印内容为浅色配色（不出现深底黑字），页面恢复后主题不变"
"OTHER-PRT-05","其他功能测试","打印与导出（OTHER-PRT）","打印页脚","P2","任一打印","查看预览底部","页脚显示站点名 + 计数（`data-cnt`，与运行时校正后的 224/594 一致）+ 站点二维码 `images/qr-site.svg`"
"OTHER-PRT-06","其他功能测试","打印与导出（OTHER-PRT）","打印单条/单表","P1","详情面板 / 速查手册","打印后观察页面状态","打印结束后面板与页面恢复正常（临时类 `printing-detail` / `printing-quote` 被移除，多次打印不累积副作用）"
"OTHER-PRT-07","其他功能测试","打印与导出（OTHER-PRT）","存为 PDF 可用性","P2","Chrome","打印目标选「另存为 PDF」","生成 PDF 可正常打开，中文无乱码、无缺字，图片正常显示"
"OTHER-ADM-01","其他功能测试","后台管理 admin（OTHER-ADM）","后台可访问与无鉴权声明","P1","`serve.js` 已启动","打开 `http://127.0.0.1:8124/admin.html`","页面正常加载（三栏布局）；顶栏显示「内容管理」与草稿后端（indexeddb / localstorage / memory）；无登录流程（任何能打开 URL 的人都可以编辑，改动只落本地草稿）"
"OTHER-ADM-02","其他功能测试","后台管理 admin（OTHER-ADM）","左栏树 5 组 36 张表","P1","后台已打开","查看 `#afTree`","5 组（站点配置 / 知识库 / 原理问答 / 实战宝典 / 参考工具），共 36 张表声明，全部可点"
"OTHER-ADM-03","其他功能测试","后台管理 admin（OTHER-ADM）","缺表告警","P2","临时移除某个 data 文件","重新加载后台","顶部 `#afBoot` 列出未找到的表名并提示可能未加载对应数据文件"
"OTHER-ADM-04","其他功能测试","后台管理 admin（OTHER-ADM）","列表区与计数","P1","点左栏「知识点」","查看中栏","表头显示「知识点 匹配数 / 总数 224」；列表每条显示标题（截 70 字）+ meta（截 60 字）；显示 `ⓘ` 维护说明"
"OTHER-ADM-05","其他功能测试","后台管理 admin（OTHER-ADM）","列表搜索范围","P2","已选知识点表","搜索一个只出现在字段正文中的词","不命中（搜索只匹配标题 + meta，不搜字段正文）——与预期一致即为通过"
"OTHER-ADM-06","其他功能测试","后台管理 admin（OTHER-ADM）","表单字段类型渲染","P1","选中「知识点」第 1 条","查看右栏","按 manifest 渲染：文本输入、多行文本、下拉（所属分类/工艺/优先级，选项来自对应表）、tags 多值、records（视频行，可增删/上下移）；必填项有标记与提示"
"OTHER-ADM-07","其他功能测试","后台管理 admin（OTHER-ADM）","保存这一条","P0","修改「核心要点」","点「保存这一条」","弹出绿色 toast「已保存（记得导出才会写回文件）」；顶栏脏标记变「1 张表有未导出的改动」；「导出改动」按钮由禁用变可点"
"OTHER-ADM-08","其他功能测试","后台管理 admin（OTHER-ADM）","Ctrl+S 保存","P1","选中任一条目并修改","按 Ctrl+S","等效于「保存这一条」；未选中条目时不触发"
"OTHER-ADM-09","其他功能测试","后台管理 admin（OTHER-ADM）","新增条目","P1","选中任一 records 表","点「+ 新增」","列表末尾新增一条空记录并自动进入编辑，焦点落在第一个控件；保存后计数 +1"
"OTHER-ADM-10","其他功能测试","后台管理 admin（OTHER-ADM）","删除条目需确认","P1","选中任一条目","点「删除」并在 confirm 中确定","弹出 confirm「删除这一条？删完记得导出。」；确定后该条从列表消失，选中态清空"
"OTHER-ADM-11","其他功能测试","后台管理 admin（OTHER-ADM）","撤销为整表撤销（已知粒度）","P2","同一张表改了 2 条","点「撤销本条改动」","该表**全部**改动退回磁盘态，toast「已撤销「…」的全部改动」（当前实现为表级粒度，非单条）"
"OTHER-ADM-12","其他功能测试","后台管理 admin（OTHER-ADM）","身份键重复检测","P1","知识点表","把某条改名成另一条已有的名字并保存，然后点「校验」","校验结果报出重复身份键问题（后台对 records 表一律做身份键查重）"
"OTHER-ADM-13","其他功能测试","后台管理 admin（OTHER-ADM）","改名联动询问","P0","知识点表","把「ABS」改名为「ABS 塑料」后保存","弹出询问：「把「旧」改名为「新」？以下 N 张表里有 M 处按名字引用它… 确定 = 一起改（推荐） / 取消 = 只改这一条」"
"OTHER-ADM-14","其他功能测试","后台管理 admin（OTHER-ADM）","改名联动生效","P0","承上","点「确定」，然后查看 `KB_REL` / `KB_DEEP` 等侧表","toast「已同步更新 N 处引用」；侧表的键与引用值同步改名，`KB_ITEMS` 名称与侧表键保持一致（数据自检仍 0 悬挂）"
"OTHER-ADM-15","其他功能测试","后台管理 admin（OTHER-ADM）","校验按钮与结果浮层","P0","后台已打开","1) 正常数据点「校验」；2) 故意清空某必填字段并保存后再点「校验」","1) 底部浮层显示「✓ <表名> 校验通过」；2) 浮层显示「发现 N 个问题（前 60 条）」并逐条列出问题；浮层需手动关闭"
"OTHER-ADM-16","其他功能测试","后台管理 admin（OTHER-ADM）","校验覆盖引用与枚举","P1","构造非法值","把优先级改成非法值、把某个 `KB_REL` 引用指向不存在的条目、把 `dims` 写成非法维度，分别校验","分别报出「取值不在允许范围」「在 X 里不存在（可能是改名后遗留）」等对应问题"
"OTHER-ADM-17","其他功能测试","后台管理 admin（OTHER-ADM）","导出改动","P0","已保存若干改动","点「导出改动」","只下载脏表对应文件（文件名如 `items.js`、`site.js`）；toast「已导出 N 个文件，覆盖回项目目录即可」；脏标记归零；「导出改动」按钮变回禁用"
"OTHER-ADM-18","其他功能测试","后台管理 admin（OTHER-ADM）","导出全部不提交","P1","已有脏表","点「导出全部」","下载全部数据文件；toast「已导出全部 N 个数据文件」；**脏标记保持**（草稿不被清除）"
"OTHER-ADM-19","其他功能测试","后台管理 admin（OTHER-ADM）","导入","P1","有导出的单表文件","点「导入」并选择 `items.js`","成功提示「已导入 KB_ITEMS」，数据与列表刷新；选择非项目文件提示「这不是本项目的导出文件」"
"OTHER-ADM-20","其他功能测试","后台管理 admin（OTHER-ADM）","草稿恢复与冲突处理","P1","后台有未导出改动","1) 关闭后台重开；2) 手工修改磁盘上对应的 `data/*.js` 后再打开后台","1) toast「已恢复上次的 N 张表草稿」，改动仍在；2) 出现「⚠️ 发现内容冲突，需要你决定」面板，含「用草稿（可能覆盖磁盘新改动）」与「用磁盘数据，丢弃草稿」两个按钮，各自行为符合文案"
"OTHER-CLI-01","其他功能测试","命令行工具（OTHER-CLI）","serve.js 默认启动","P0","项目根目录","执行 `node serve.js`","打印「开发服务器已启动：http://127.0.0.1:8124/」与后台入口地址；浏览器访问该地址可打开首页；**不自动打开浏览器**"
"OTHER-CLI-02","其他功能测试","命令行工具（OTHER-CLI）","serve.js 端口参数","P2","端口 8124 被占用","执行 `node serve.js 9000`","服务监听 9000，日志端口同步变化"
